Date,AAPL,AMZN,AXP,BA,BHP,CAT,FB,GOOG,NFLX,MRK,JNJ,IVPAF,UFPI,SAM,RIO,PFE,WST,VALE,UTX,UNH
12/31/15,99.414101,675.890015,65.677788,131.765335,21.600197,60.412975,104.660004,758.880005,114.379997,47.84428,94.171021,0.46,21.475885,201.910004,22.986557,28.643974,58.933277,3.017126,88.878517,111.964439
1/4/16,99.499107,636.98999,63.826897,128.038101,21.365414,60.439636,102.220001,741.840027,109.959999,47.536304,92.117455,0.44,20.769133,199.25,22.4261,28.351149,56.369259,2.897909,88.415924,110.841354
1/5/16,97.00573,633.789978,62.84483,128.557541,21.189327,59.808491,102.730003,742.580017,107.660004,48.143188,92.502487,0.445,21.007858,194.600006,22.615551,28.555246,55.654858,2.888738,88.554718,111.050743
1/6/16,95.107361,632.650024,61.099651,126.516212,19.923164,58.866196,102.970001,743.619995,117.68,47.481953,92.03492,0.444,21.054976,190.479996,21.336767,28.049448,56.026741,2.668644,86.149361,109.918159
1/7/16,91.093399,607.940002,60.549545,121.212425,18.833094,56.839401,97.919998,726.390015,114.559998,47.065296,90.962311,0.43,20.55868,192.139999,20.373728,27.863102,54.793663,2.485232,85.02066,106.682182
1/8/16,91.575073,607.049988,60.35038,118.46032,18.413834,56.261578,97.330002,714.469971,111.389999,46.268192,89.990532,0.434,20.1252,177.520004,19.789597,27.508158,54.255409,2.384355,83.63295,104.845306
1/11/16,93.057869,617.73999,60.748726,118.660789,17.944265,54.643696,97.510002,716.030029,114.970001,46.422176,89.449631,0.42,19.59749,171.309998,19.5291,27.570272,54.02055,2.329331,83.725471,104.293297
1/12/16,94.408447,617.890015,61.080685,120.219109,17.306992,54.759266,99.370003,726.070007,116.580002,46.884132,90.063873,0.423,20.257126,172.419998,18.960751,27.508158,54.862164,2.173431,83.725471,106.843987
1/13/16,91.981194,581.809998,59.610577,116.756165,17.088978,54.128098,95.440002,700.559998,106.559998,45.88776,88.945404,0.42,20.307386,167.270004,18.794983,26.94912,54.607719,2.045043,82.180473,103.960182
1/14/16,93.992889,593,60.027901,117.740372,18.179052,55.354858,98.370003,714.719971,107.059998,46.920372,90.659775,0.413,20.637205,168.800003,19.892214,27.60577,55.596138,2.237625,82.346992,105.416367
1/15/16,91.735634,570.179993,59.66748,114.487015,16.929663,53.887726,94.970001,694.450012,104.040001,46.322536,88.927063,0.389,20.935614,164,18.645002,27.339556,55.14502,2.173431,79.220009,103.998238
1/19/16,91.291718,574.47998,59.411404,114.878876,16.829039,53.823898,95.260002,701.789978,107.889999,46.503704,89.38546,0.387,20.398479,166.160004,18.408192,27.233078,55.929577,2.136749,78.859215,107.148529
1/20/16,91.41452,571.77002,59.781296,111.306572,16.25046,53.623306,94.349998,698.450012,107.739998,45.78812,87.781105,0.373,20.272835,163.720001,17.918781,27.206457,57.086811,2.136749,78.479904,109.251938
1/21/16,90.951736,575.02002,59.411404,112.454819,17.608858,54.425686,94.160004,706.590027,102.349998,46.12326,87.955307,0.379,20.398479,163.949997,18.842346,27.135466,55.704021,2.017531,79.164505,108.02417
1/22/16,95.787369,596.380005,52.222084,113.557472,18.011345,55.601921,97.940002,725.25,100.720001,46.512749,88.697876,0.391,21.12722,164.619995,18.763407,27.250822,56.82201,2.081725,79.886108,108.81414
1/25/16,93.917336,596.530029,52.184151,113.010704,17.399229,52.802681,97.010002,711.669983,99.120003,46.12326,88.376999,0.384,20.301105,163.550003,18.021397,27.06448,56.135529,1.971678,78.544655,107.909943
1/26/16,94.43679,601.25,52.250542,116.655922,18.455763,53.942432,97.339996,713.039978,97.830002,46.60334,92.759193,0.44,21.039267,169.5,19.252819,27.215332,56.164951,2.035872,79.238518,108.461975
1/27/16,88.231659,583.349976,51.70993,106.239716,17.902338,53.17651,94.449997,699.98999,91.150002,45.625072,93.657639,0.434,20.389057,171.869995,19.023903,27.082228,55.713825,2.118408,79.386536,106.910614
1/28/16,88.864449,635.349976,50.154449,107.5429,18.271288,55.693104,109.110001,730.960022,94.410004,44.565296,93.758469,0.447,20.656052,170.179993,19.308075,26.798269,53.977989,2.081725,79.978645,106.006439
1/29/16,91.93396,587,50.742496,109.474854,18.371908,56.750793,112.209999,742.950012,91.839996,45.896812,95.747887,0.474,21.639223,179.25,19.458059,27.055607,56.115917,2.246796,81.125816,109.604088
2/1/16,91.074501,574.809998,51.880646,110.778023,18.220976,57.170227,115.089996,752,94.089996,45.969276,95.683693,0.464,20.863363,178.809998,19.339651,26.77165,55.988426,2.173431,81.005531,110.298851
2/2/16,89.232796,552.099976,50.894245,107.096352,17.047052,55.31926,114.610001,764.650024,91.489998,45.661301,94.803604,0.445,20.297964,174.899994,18.352932,26.745028,55.782471,1.980849,79.025734,108.385826
2/3/16,90.998932,531.070007,51.321056,111.060509,17.935877,57.68996,112.690002,726.950012,90.739998,45.335217,95.472832,0.474,20.084366,180.229996,19.773806,26.592661,55.762859,2.127578,79.525314,107.310364
2/4/16,91.73011,536.26001,51.577141,112.646194,19.193657,60.142712,110.489998,708.01001,89.709999,44.012753,95.252823,0.463,20.00898,178.309998,21.281509,25.992153,54.958691,2.466891,81.523636,108.690392
2/5/16,89.28019,502.130005,51.19775,111.689323,18.933714,60.288601,104.07,683.570007,82.790001,44.728329,92.172455,0.458,19.525244,179.029999,20.68948,26.019041,53.605312,2.393526,81.26458,106.330055
